Comment;Designator;Footprint;JLCPCB Part #
0.1uF;C5,C4,C3,C1,C2;805;C235777
10k;R8,R7,R6,R5;1206;C17902
ULN2003A;U1;SOIC-16;C7512
22uF;22uF4,22uF3,22uF2,22uF1;3528;C110051
39k1w;R17,R15,R13,R11,R16,R14,R12,R10;2512;C25723
150;R9;805;C17471
LED;D9;805;C2297
