Ref,Val,Package,PosX,PosY,Rot,Side
"C1","NC","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",106.886500,28.668400,180.000000,bottom
"C2","NC","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",106.886500,30.968400,180.000000,bottom
"C35","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.161500,6.468400,180.000000,bottom
"C36","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",54.624000,6.468400,0.000000,bottom
"G5","LOGO","danger1_negative",112.979200,53.390800,180.000000,bottom
