Designator,Mid X,Mid Y,Layer,Rotation
C1,190.156000mm,-126.936500mm,Top,180
C2,131.762500mm,-139.518500mm,Top,90
C3,193.521500mm,-125.412500mm,Top,0
C4,193.511000mm,-126.936500mm,Top,0
C5,136.334500mm,-144.575521mm,Top,270
C6,131.762500mm,-145.614500mm,Top,270
C7,166.574900mm,-140.947300mm,Top,270
C8,164.974900mm,-140.940800mm,Top,270
C9,170.066500mm,-111.846500mm,Top,270
C10,177.432800mm,-122.085100mm,Top,180
C11,180.885000mm,-122.085100mm,Top,0
C12,185.863400mm,-122.085100mm,Top,180
C13,190.943400mm,-122.085100mm,Top,0
C14,176.605800mm,-120.103900mm,Top,180
C15,181.660400mm,-120.103900mm,Top,0
C16,186.677300mm,-120.103900mm,Top,180
C17,191.745000mm,-120.103900mm,Top,0
C18,173.309000mm,-135.193500mm,Top,0
C19,173.309000mm,-137.093500mm,Top,0
D1,156.604500mm,-109.288500mm,Top,90
D2,157.283000mm,-141.900900mm,Top,180
D3,162.593000mm,-141.900900mm,Top,0
D4,159.883000mm,-141.900900mm,Top,180
D5,154.866500mm,-143.113900mm,Top,270
F1,143.546500mm,-85.283500mm,Top,270
F2,143.546500mm,-95.413500mm,Top,270
F3,178.092100mm,-86.779100mm,Top,90
F4,183.070500mm,-86.779100mm,Top,90
F5,188.099700mm,-86.779100mm,Top,90
F6,193.128900mm,-86.779100mm,Top,90
G***,156.706500mm,-112.673500mm,Top,270
G***,129.596500mm,-70.813500mm,Top,0
J1,145.500100mm,-78.977099mm,Top,180
J2,147.002500mm,-138.493500mm,Top,0
J3,146.991700mm,-145.453100mm,Top,0
J4,141.973300mm,-146.850100mm,Top,180
J5,155.080500mm,-119.965500mm,Top,180
J6,184.442100mm,-149.161500mm,Top,90
J7,161.273000mm,-148.000900mm,Top,0
J8,154.056500mm,-139.615500mm,Top,180
J9,169.146500mm,-78.953500mm,Top,180
J10,160.026500mm,-118.314500mm,Top,0
J11,193.106500mm,-78.913499mm,Top,180
J12,178.955700mm,-125.082300mm,Top,90
J13,173.236500mm,-132.583500mm,Top,0
K1,152.668900mm,-92.831099mm,Top,90
K2,158.066400mm,-92.811600mm,Top,90
K3,163.410900mm,-92.811600mm,Top,90
K4,168.808400mm,-92.811600mm,Top,90
PS1,139.136100mm,-119.443500mm,Top,0
Q1,163.796500mm,-130.236000mm,Top,270
Q2,160.336500mm,-130.246000mm,Top,270
R1,190.168500mm,-125.412500mm,Top,0
R2,154.064500mm,-109.297500mm,Top,90
R3,171.376500mm,-149.243500mm,Top,0
R4,165.978000mm,-138.458900mm,Top,180
R5,165.978000mm,-136.934900mm,Top,0
R6,169.009000mm,-146.513500mm,Top,0
R7,155.086500mm,-147.926000mm,Top,270
R8,153.806500mm,-134.135500mm,Top,270
R9,165.978000mm,-135.410900mm,Top,0
R10,180.578000mm,-148.272500mm,Top,180
R11,180.578000mm,-150.304500mm,Top,180
R12,161.229000mm,-133.575500mm,Top,180
R13,156.406500mm,-139.465500mm,Top,270
R14,177.154200mm,-114.795300mm,Top,0
R15,181.523000mm,-114.795300mm,Top,180
R16,188.326400mm,-114.795300mm,Top,0
R17,192.695200mm,-114.795300mm,Top,180
R18,161.984000mm,-125.983500mm,Top,180
R19,161.984000mm,-127.513500mm,Top,0
R20,178.142900mm,-103.494300mm,Top,270
R21,183.070500mm,-103.494300mm,Top,270
R22,188.099700mm,-103.443500mm,Top,270
R23,193.128900mm,-103.443500mm,Top,270
R24,178.142900mm,-95.366300mm,Top,270
R25,183.070500mm,-95.366300mm,Top,270
R26,188.099700mm,-95.315500mm,Top,270
R27,193.128900mm,-95.311500mm,Top,270
RV1,128.386500mm,-94.623500mm,Top,0
SW1,168.416500mm,-127.903500mm,Top,90
SW2,155.706500mm,-127.933500mm,Top,270
U1,129.222500mm,-145.605500mm,Top,90
U2,185.610500mm,-137.486500mm,Top,270
U3,160.983000mm,-137.940900mm,Top,90
U4,163.716500mm,-111.583500mm,Top,90
U5,183.172100mm,-109.639100mm,Top,270
U6,194.348100mm,-109.639100mm,Top,270
U7,169.659300mm,-136.141500mm,Top,180
